@id,@lon,@lat,name,name:mk,name:en,int_name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,contact:phone,opening_hours,fee,operator,website,historic,memorial,wikipedia
382646189,22.0195297,41.4336787,,,,,,,,,,,,,,,monument,,
390757129,20.7935224,41.1145090,,,,,,,,,,,,,,,,,
390757131,20.7934804,41.1146193,,,,,,,,,,,,,,,,,
390757134,20.7935097,41.1147723,,,,,,,,,,,,,,,,,
390757136,20.7936299,41.1148564,,,,,,,,,,,,,,,,,
390757139,20.7938183,41.1149008,,,,,,,,,,,,,,,,,
390757142,20.7939818,41.1148823,,,,,,,,,,,,,,,,,
390757144,20.7940988,41.1148332,,,,,,,,,,,,,,,,,
390757147,20.7941485,41.1147369,,,,,,,,,,,,,,,,,
390757150,20.7941218,41.1147328,,,,,,,,,,,,,,,,,
390757152,20.7940456,41.1146757,,,,,,,,,,,,,,,,,
390757159,20.7940086,41.1146145,,,,,,,,,,,,,,,,,
390757162,20.7939917,41.1144205,,,,,,,,,,,,,,,,,
390757164,20.7938028,41.1144281,,,,,,,,,,,,,,,,,
390757168,20.7937331,41.1145017,,,,,,,,,,,,,,,,,
390757171,20.7936766,41.1145505,,,,,,,,,,,,,,,,,
390757432,20.7912433,41.1151632,,,,,,,,,,,,,,,ruins,,
390757439,20.7914836,41.1155576,Лихнид,,,,,,,,,,,,,,archaeological_site,,it:Lychnidos
390770928,20.7904973,41.1137069,,,,,,,,,,,,,,,,,
390770931,20.7912969,41.1123463,,,,,,,,,,,,,,,,,
390770933,20.7914855,41.1125534,,,,,,,,,,,,,,,,,
393713609,21.4320634,42.0016810,,,,,,,,,,,,,,,,,
393713611,21.4320232,42.0016573,,,,,,,,,,,,,,,,,
393713613,21.4319484,42.0012323,,,,,,,,,,,,,,,,,
393713617,21.4320519,42.0009925,,,,,,,,,,,,,,,,,
393713619,21.4319880,42.0009909,,,,,,,,,,,,,,,,,
393713781,21.4322943,42.0004656,,,,,,,,,,,,,,,,,
393713784,21.4324426,42.0001827,,,,,,,,,,,,,,,,,
393713785,21.4325091,42.0001436,,,,,,,,,,,,,,,,,
393713786,21.4326348,42.0000757,,,,,,,,,,,,,,,,,
393713787,21.4327736,42.0000141,,,,,,,,,,,,,,,,,
393713789,21.4336678,41.9998641,,,,,,,,,,,,,,,,,
393713790,21.4336711,41.9998843,,,,,,,,,,,,,,,,,
393713791,21.4338261,41.9998637,,,,,,,,,,,,,,,,,
393713792,21.4341071,41.9998577,,,,,,,,,,,,,,,,,
