name,nameEn,region,city,municipality,postcode,suburb,lon,lat,address,,,,,,
Народен театар,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.1326476,21.7193518,"Народен театар, Народна Револуција 43, 1300 Kumanovo, North Macedonia",,,,,,
Театар за деца и младинци,,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9945773,21.4312276,"Театар за деца и младинци, Dimitrie Chupovski 4, 1111 Skopje, North Macedonia",,,,,,
Салон 19 19,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9932496,21.4354132,"Салон 19 19, Stiv Naumov, 1111 Skopje, North Macedonia",,,,,,
Албански Театар,,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.0044498,21.4386535,"Албански Театар, Никола Мартиновски 41, 1000 Skopje, North Macedonia",,,,,,
Музеј на современата уметност,Contemporary Art Museum of Macedonia,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,42.00388665,21.43295144,"Contemporary Art Museum of Macedonia, Samoilova, 1000 Skopje, North Macedonia",,,,,,
Национална галерија „Даут-пашин амам“,Daut Pasha Hamam National Gallery,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9987239,21.43572365,"Daut Pasha Hamam National Gallery, Плоштад Карпошово Востание""",,, 1000 Skopje," North Macedonia""",172171547,
Музеј на македонската борба,Museum of the Macedonian struggle,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9979421,21.43318647,"Museum of the Macedonian struggle, 11 Март 1, 1000 Skopje, North Macedonia",,,,,,
Спомен куќа на Мајка Тереза,Memorial House of Mother Teresa,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9938448,21.43086346,"Memorial House of Mother Teresa, Makedonija, 1000 Skopje, North Macedonia",,,,,,
Меморијален центар на холокаустот на Евреите од Македонија,Holocaust Memorial Center for the Jews of Macedonia,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9984656,21.43338324,"Holocaust Memorial Center for the Jews of Macedonia, Самоилова 2, 1000 Skopje, North Macedonia",,,,,,
Музеј на Град Скопје,Museum of the City of Skopje,Skopje Region,Skopje,Municipality of Centar,1000,Kapishtec,41.99083115,21.42919817,"Museum of the City of Skopje, Bulevard Makedonija, 1000 Skopje, North Macedonia",,,,,,
Музеј на Илинденското востание и Крушевската Република,Museum of the Ilinden Uprising and the Republic of Krushevo,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Arnaut Neighbourhood,41.3690527,21.2453034,"Museum of the Ilinden Uprising and the Republic of Krushevo, Dimitar Berberoski - Takja Berber 44А, 7550 Krushevo OT, North Macedonia",,,,,,
Леарница,Foundry,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Miak,41.37217175,21.2466584,"Foundry, Toma Niklev 0, 7550 Krushevo OT, North Macedonia",,,,,,
Музеј,Museum,Pelagonia Region,Prilep,Municipality of Prilep,7500,Rid,41.342827,21.55939354,"Museum, Aleksandar Makedonski 400, 7500 Prilep, North Macedonia",,,,,,
Galerija RA,Gallery RA,Skopje Region,Skopje,Municipality of Karposh,1000,Taftalidzhe 2,41.9989569,21.3865879,"Gallery RA, Vojvoda Vasil Chakalarov 94, 1000 Skopje, North Macedonia",,,,,,
Македониум,,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Upper Krushevo,41.3774084,21.24837151,"Македониум, Плато, 7550 Krushevo OT, North Macedonia",,,,,,
Куршумли-ан,,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.0031499,21.43684302,"Куршумли-ан, Атанас Бабата, 1000 Skopje, North Macedonia",,,,,,
Музеј на Македонија,Museum of Macedonia,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.0026418,21.43580709,"Museum of Macedonia, Св. Прохор Пчињски, 1000 Skopje, North Macedonia",,,,,,
Природонаучен Музеј,Macedonian Museum of Natural History,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,42.005709,21.4174425,"Macedonian Museum of Natural History, Boulevard Ilinden, 1000 Skopje, North Macedonia",,,,,,
Археолошки музеј на Македонија,Archaeological Museum of Macedonia,Skopje Region,Skopje,Municipality of Centar,1000,Madzhir Maalo,41.9968813,21.43436569,"Archaeological Museum of Macedonia, Мост на цивилизациите во Македонија, 1000 Skopje, North Macedonia",,,,,,
Музеј Штип,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.73666625,22.18975125,"Музеј Штип, Marshal Tito St., 2000 Shtip, North Macedonia",,,,,,
Безистен Штип,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.73754,22.19269966,"Безистен Штип, Кузман Јосифовски Питу, 2000 Shtip, North Macedonia",,,,,,
Спомен-дом Блаже Конески,Blazhe Koneski Memorial House,Pelagonia Region,Prilep (Vicinity),Municipality of Prilep,7513,,41.4492956,21.55843252,"Blazhe Koneski Memorial House, Hiking trail Prilep - Treskavec, 7513 Prilep (Vicinity), North Macedonia",,,,,,
Музеј на Битола,Museum of Bitola,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0238366,21.33604317,"Museum of Bitola, Saint Clement of Ohrid 18, 7000 Bitola, North Macedonia",,,,,,
Меморијален музеј Народен херој Кузман Јосифоски-Питу,People's hero Kuzman Josifoski-Pitu Memorial museum,Pelagonia Region,Prilep,Municipality of Prilep,7500,Rid,41.34252545,21.55973095,"People's hero Kuzman Josifoski-Pitu Memorial museum, Mara Josifoska-Gjurgja 20, 7500 Prilep, North Macedonia",,,,,,
Магаза,Magaza gallery,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0299321,21.33512472,"Magaza gallery, Magnolia Square, 7000 Bitola, North Macedonia",,,,,,
Спомен Костурница,Kosturnica Memorial,Vardar Region,Veles,Municipality of Veles,1400,,41.72329265,21.78945368,"Kosturnica Memorial, Ганчо Хаџи Панзов, 1400 Veles, North Macedonia",,,,,,
11 Октомври 1941,"October the 11th, 1941",Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.345014,21.55235949,"October the 11th, 1941, Metodija Andonov - Chento, 7500 Prilep, North Macedonia",,,,,,
Музеј на НОВ,,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.37561085,21.24571983,"Музеј на НОВ, Nikola Karev, 7550 Krushevo, North Macedonia",,,,,,
Ел Калем,,Skopje Region,Arnakija,Municipality of Saraj,,,41.9869501,21.28764869,"Ел Калем, R1206, Arnakija, North Macedonia",,,,,,
Музеј Галерија Кавадарци,Muzej Galerija Kavadarci,Vardar Region,Kavadarci,Municipality of Kavadarci,1430,,41.4343634,22.0163228,"Muzej Galerija Kavadarci, 7 Septemvri, 1430 Kavadarci, North Macedonia",,,,,,
"Muzeu ""Dëshmorët e kombit""",,Northeastern Region,Slupchane,Municipality of Lipkovo,,,42.1791184,21.62037817,"Muzeu Dëshmorët e kombit""",,,"R29272, Slupchane, North Macedonia",834714782,,
Народен Музеј,,Vardar Region,Sveti Nikole,Municipality of Sveti Nikole,2220,Рецко Маало,41.8650268,21.94190668,"Народен Музеј, Karposheva, 2220 Sveti Nikole, North Macedonia",,,,,,
Ловен Дом,,Eastern Region,Kochani,Municipality of Kochani,2300,,41.9151239,22.41379184,"Ловен Дом, 8mi Septemvri, 2300 Kochani, North Macedonia",,,,,,
Goce Delchev Memorial House,,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0268975,21.33220846,"Goce Delchev Memorial House, Stevo Patako, 7000 Bitola, North Macedonia",,,,,,
Museum Teracotta,,Eastern Region,Vinica,Municipality of Vinica,2310,,41.8841902,22.5049622,"Museum Teracotta, Angel of Vinica 1a, 2310 Vinica, North Macedonia",,,,,,
Museum of Wine,,Vardar Region,Demir Kapija,Municipality of Demir Kapija,1442,,41.4085959,22.2447656,"Museum of Wine, Marshal Tito, 1442 Demir Kapija, North Macedonia",,,,,,
Спомен куќа на Страшо Пинџур,Memorial house - Strasho Pindjur,Vardar Region,Municipality of Kavadarci,,1430,Vatasha,41.4184594,22.0181317,"Memorial house - Strasho Pindjur, Boro Vataskhi, 1430 Municipality of Kavadarci, North Macedonia",,,,,,
"Auto and etno museum ""Filip""","Auto and etno museum ""Filip""",Pelagonia Region,Krklino,Municipality of Bitola,7000,,41.0748026,21.3299172,"Auto and etno museum Filip""",,,"R1305, 7000 Krklino, North Macedonia",10932198705,,
Museum of illusions,Museum of illusions,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9962134,21.4291373,"Museum of illusions, Maksim Gorki 10, 1111 Skopje, North Macedonia",,,,,,
Национален парк Шар Планина,National Park Shar Planina,Polog Region,,,,,41.9560681,20.84767532,"National Park Shar Planina, Polog Region, North Macedonia",,,,,,
Национален Парк Пелистер,Pelister National Park,Pelagonia Region,,,,,40.9653429,21.23754491,"Pelister National Park, Pelagonia Region, North Macedonia",,,,,,
Природен Резерват Јасен,National Park Jasen,Southwestern Region,,,,,41.81565485,21.20576641,"National Park Jasen, City of Skopje, North Macedonia",,,,,,
Paragliding Info Center,Paragliding Info Center,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Lower Krushevo,41.3676364,21.2486406,"Paragliding Info Center, Ilindenska, 7550 Krushevo OT, North Macedonia",,,,,,
Воин на коњ,Warrior on a Horse,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9959035,21.4314474,"Warrior on a Horse, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Св. Климент Охридски,Clement of Ohrid,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9983057,21.4254968,"Clement of Ohrid, Bulevard Kliment Ohridski, 1111 Skopje, North Macedonia",,,,,,
Скендербег,Skanderbeg,Skopje Region,Skopje,Municipality of Chair,1111,Dukjandzhik,41.9993163,21.437162,"Skanderbeg Square, 1111 Skopje, North Macedonia",,,,,,
Св. Климент Охридски и Наум Охридски Чудотворец,Saints Clement of Ohrid and Naum,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9975624,21.4341509,"Saints Clement of Ohrid and Naum, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4128156210,
Цар Самоил,Tsar Samuel,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9953917,21.4313414,"Tsar Samuel, Macedonia Square, 1000 Skopje, North Macedonia",,,,,,
Јустинијан I,Justinian I,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9968799,21.4323054,"Justinian I, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Кире Гаврилоски-Јане,Kire Gavriloski-Jane,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3360133,21.5554027,"Kire Gavriloski-Jane, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Круме Волнароски-Коља,Krume Volnaroski-Kolja,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3356523,21.554537,"Krume Volnaroski-Kolja, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Народен херој Мирче Ацев-Стојче,People's hero Mirche Acev-Stojche,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3358036,21.5548999,"People's hero Mirche Acev-Stojche, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Рампо Левков-Левков,Rampo Levkov-Levkata,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3357217,21.5547035,"Rampo Levkov-Levkata, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Борка Талески-Модерното,Borka Taleski-Modernoto,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3358954,21.55512,"Borka Taleski-Modernoto, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Лазо Колевски-Лавски,Lazo Kolevski-Lavski,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3356849,21.5546151,"Lazo Kolevski-Lavski, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Борка Велески-Горанов,Borka Veleski-Goranov,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.335763,21.5548025,"Borka Veleski-Goranov, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Народен херој Кузман Јосифоски-Питу,People's hero Kuzman Josifoski-Pitu,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3358485,21.5550074,"People's hero Kuzman Josifoski-Pitu, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Јордан Чопела-Орде,Jordan Chopela-Orde,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3359385,21.5552234,"Jordan Chopela-Orde, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Илија Игески-Цветан,Ilija Igeski-Cvetan,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3359728,21.5553055,"Ilija Igeski-Cvetan, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Јоска Јорданоски - Сандански,Joska Jordanoski - Sandanski,Pelagonia Region,Prilep,Municipality of Prilep,7510,Vishne,41.3476525,21.5594109,"Joska Jordanoski - Sandanski, Joska Jordanoski-Sandanski, 7510 Prilep, North Macedonia",,,,,,
Филип II Македонски,Philip II of Macedon,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9984602,21.4349949,"Philip II of Macedon, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",1859114111,
Македонка,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.145271,21.7225477,"Македонка, Средорек, 1300 Kumanovo, North Macedonia",,,,,,
Народен херој Мице Козароски-Јандре,People's hero Mice Kozaroski-Jandre,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3464763,21.5529446,"People's hero Mice Kozaroski-Jandre, Alexandria Square, 7500 Prilep, North Macedonia",,,,,,
Josip Broz Tito,,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9952169,21.426153,"Josip Broz Tito, Dimitrie Čupovski, 1000 Skopje, North Macedonia",,,,,,
Св. Кирил и Методиј,Saints Cyril and Methodius,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9977079,21.4339766,"Saints Cyril and Methodius, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4128156209,
Круме Волнароски-Коља,Krume Volnaroski-Kolja,Pelagonia Region,Topolchani,Municipality of Prilep,7512,,41.2257975,21.4316498,"Krume Volnaroski-Kolja, Тополчани 6, 7512 Topolchani, North Macedonia",,,,,,
Даме Груев,Dame Gruev,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9964949,21.4321474,"Dame Gruev, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Олимпија,Olympias,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9979046,21.4344182,"Olympias, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4161249330,
Статуа Филип II,Philip II Statue,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0302025,21.3347596,"Philip II Statue, Magnolia Square, 7000 Bitola, North Macedonia",,,,,,
Wall Street Bull,Wall Street Bull,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9930933,21.4298952,"Wall Street Bull, Makedonija, 1111 Skopje, North Macedonia",,,,,,
Staute,,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,42.0017162,21.4213151,"Staute, Mihail Cokov, 1000 Skopje, North Macedonia",,,,,,
Школка,Shell,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,42.0053056,21.4223506,"Shell, Stoltenberg, 1111 Skopje, North Macedonia",,,,,,
Дамчевски,Damchevski,Skopje Region,Skopje,Municipality of Karposh,1000,Vlae,42.010912,21.3796723,"Damchevski, Франц Прешерн 227, 1000 Skopje, North Macedonia",,,,,,
Гоце Делчев,Goce Delchev,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9963577,21.4323793,"Goce Delchev, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Градот убав,Street Art & Graffiti Gallery,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9941112,21.4340211,"Street Art & Graffiti Gallery, ГТЦ, 1111 Skopje, North Macedonia",,,,,,
Дрво на животот,,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0327147,21.335686,"Дрво на животот, Filip Vtori Makedonski, 7000 Bitola, North Macedonia",,,,,,
Естреја Овадија-Мара,,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0334398,21.3356797,"Естреја Овадија-Мара, Pande Nikolov, 7000 Bitola, North Macedonia",,,,,,
ТИТО,,Pelagonia Region,Prilep (Vicinity),Municipality of Prilep,7513,Kozle,41.3597742,21.5348671,"ТИТО, Borka Lopach, 7513 Prilep (Vicinity), North Macedonia",,,,,,
Дане Крапчев,,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,42.0045279,21.4182143,"Дане Крапчев, Boulevard Ilinden, 1000 Skopje, North Macedonia",,,,,,
Христијан Тодоровски Карпош,,Skopje Region,Skopje,Municipality of Karposh,1000,Karposh 2,42.0038675,21.4135021,"Христијан Тодоровски Карпош, Руѓер Бошковиќ, 1000 Skopje, North Macedonia",,,,,,
Киро Бајрамоски,Kiro Bajramoski,Pelagonia Region,Prilep,Municipality of Prilep,7510,Gjorgji Delchev-Goce,41.345092,21.5643393,"Kiro Bajramoski, R1101, 7510 Prilep, North Macedonia",,,,,,
Македонски бранители,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9942061,21.4330139,"Македонски бранители, 1111 Skopje, North Macedonia",,,,,,
Тарас Шевченко,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9940194,21.433845,"Тарас Шевченко, 1111 Skopje, North Macedonia",,,,,,
Славко Јаневски,Slavko Janevski,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9940981,21.4337313,"Slavko Janevski, 1111 Skopje, North Macedonia",,,,,,
Петар Богданов,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9939364,21.433093,"Петар Богданов, 11 Oktomvri, 1111 Skopje, North Macedonia",,,,,,
Кузман Јосифоски-Питу,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9940383,21.4330051,"Кузман Јосифоски-Питу, 11 Oktomvri, 1111 Skopje, North Macedonia",,,,,,
Татковина - Копнеж за прогонатите,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9940199,21.4332951,"Татковина - Копнеж за прогонатите, ГТЦ, 1111 Skopje, North Macedonia",,,,,,
Основачите на Македонската револуционерна организација,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9933258,21.4335226,"Основачите на Македонската револуционерна организација, Dimitrie Chupovski, 1111 Skopje, North Macedonia",,,,,,
Првото заседание на АСНОМ,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9931516,21.4336429,"Првото заседание на АСНОМ, Dimitrie Chupovski, 1111 Skopje, North Macedonia",,,,,,
Споменик на жената борец,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9936316,21.4340468,"Споменик на жената борец, ГТЦ, 1111 Skopje, North Macedonia",,,,,,
Паднати херои за Македонија,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9933504,21.4338554,"Паднати херои за Македонија, Stiv Naumov, 1111 Skopje, North Macedonia",,,,,,
Народен херој Трајко Бошкоски-Тарцан,People's hero Trajko Boshkoski-Tarcan,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3464898,21.5529611,"People's hero Trajko Boshkoski-Tarcan, Alexandria Square, 7500 Prilep, North Macedonia",,,,,,
Душко Наумоски,Dushko Naumoski,,,,,,41.3419581,21.5572436,,,,,,,
"Свети Гаврил Лесновски 22 / 5,000 Translation results Свети Гаврил Лесновски",,Eastern Region,Probishtip,Municipality of Probishtip,,,41.9998775,22.1784244,"Свети Гаврил Лесновски 22 / 5,000 Translation results Свети Гаврил Лесновски, Јаким Стојковски, Probishtip, North Macedonia",,,,,,
Веле Марков,Vele Markov,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.3747391,21.2465877,"Vele Markov, Гумење, 7550 Krushevo, North Macedonia",,,,,,
Жан Анри Динан,Jean-Henri Dunant,Pelagonia Region,Prilep,Municipality of Prilep,7500,Bonchejca,41.3431449,21.5461897,"Jean-Henri Dunant, Jole Andonoski, 7500 Prilep, North Macedonia",,,,,,
Denkmal Neєat Agoli,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9961595,21.4328538,"Denkmal Neєat Agoli, Плоштад Македониja, 1111 Skopje, North Macedonia",,,,,,
Dimitrija-Chupovski-Denkmal,,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9961265,21.4309955,"Dimitrija-Chupovski-Denkmal, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
