name,nameEn,region,city,municipality,postcode,suburb,lon,lat,address,,,,,,
Саат Кула,Clock Tower,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0308805,21.33389765,"Clock Tower, Јорго Османо, 7000 Bitola, North Macedonia",,,,,,
Плоштад Македонија,Macedonia Square,Skopje Region,Skopje,Municipality of Centar,,Debar Maalo,41.996094,21.43173662,"Macedonia Square, Debar Maalo, Skopje, City of Skopje, North Macedonia",,,,,,
Аквадукт Скопје,Skopje Aqueduct,Skopje Region,Skopje,Municipality of Butel,1009,Butel,42.0222287,21.4189735,"Skopje Aqueduct, Булевар Словенија, 1009 Skopje, North Macedonia",,,,,,
Лесновски манастир,Lesnovo Monastery,Eastern Region,Dreveno,Municipality of Probishtip,,,42.01325205,22.22829392,"Lesnovo Monastery, R1309, Dreveno, North Macedonia",,,,,,
Баргала,Bargala,Eastern Region,Radanje,Municipality of Karbinci,,,41.79875415,22.29040312,"Bargala, R2431, Radanje, North Macedonia",,,,,,
Џамија Ајдар Кади,,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.0349732,21.33846918,"Џамија Ајдар Кади, Цане Василев, 7000 Bitola, North Macedonia",,,,,,
Тумба Маџари,Tumba Madzhari,Skopje Region,Skopje,Municipality of Gazi Baba,,Gazi Baba,42.0013717,21.5054241,"Tumba Madzhari, 22, Skopje, North Macedonia",,,,,,
Стибера,Stibera,Pelagonia Region,Topolchani,Municipality of Prilep,7512,,41.2437681,21.39753193,"Stibera, Тополчани, 7512 Topolchani, North Macedonia",,,,,,
Могила на непобедените,Mound of the undefeated,Pelagonia Region,Prilep,Municipality of Prilep,,Chachorica,41.33419995,21.55460056,"Могила на непобедените, Mound of the undefeated, Prilep, North Macedonia",,,,,,
Св. Великомаченик Георгиј,Church of St. George,Northeastern Region,Staro Nagorichane,Municipality of Staro Nagorichane,,,42.19823985,21.82807678,"Church of St. George, R1207, Staro Nagorichane, North Macedonia",,,,,,
Меморијален комплекс на паднатите борци на Револуцијата,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.73838535,22.1875376,"Меморијален комплекс на паднатите борци на Револуцијата, 4 та Македонска бригада, 2000 Shtip, North Macedonia",,,,,,
Исар,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.7387539,22.18693279,"Исар, 4 та Македонска бригада, 2000 Shtip, North Macedonia",,,,,,
Скупи,Scupi,Skopje Region,Skopje,Municipality of Karposh,1020,Karposh,42.02043115,21.388207,"Scupi, Улица 10, 1020 Skopje, North Macedonia",,,,,,
Споменик на слободата,Monument of Freedom,Eastern Region,Kochani,Municipality of Kochani,2300,,41.9188903,22.4069917,"Monument of Freedom, Kirili i Metodij, 2300 Kochani, North Macedonia",,,,,,
Штакле,Castle Stakle,Skopje Region,Skopje,Municipality of Chair,1000,Dukjandzhik,42.00552865,21.44764825,"Castle Stakle, Менделеева 58-a, 1000 Skopje, North Macedonia",,,,,,
Билазора,,Vardar Region,Sveti Nikole,Municipality of Sveti Nikole,2220,Бел Камен,41.84715315,21.9124755,"Билазора, Септемвриска, 2220 Sveti Nikole, North Macedonia",,,,,,
Плоштад Скендербег,Skanderbeg Square,Skopje Region,Skopje,Municipality of Chair,,Dukjandzhik,41.99928785,21.43714398,"Skanderbeg Square, Dukjandzhik, Skopje, City of Skopje, North Macedonia",,,,,,
Александар Македонски,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.73725115,22.19403747,"Александар Македонски, Marshal Tito St., 2000 Shtip, North Macedonia",,,,,,
Масакр кај Карпалак,Karpalak massacre,Polog Region,Rogle,Municipality of Zhelino,,,41.9769697,21.16756484,"Karpalak massacre, Rogle, Polog Region, North Macedonia",,,,,,
Гориче,Goriche,Pelagonia Region,Belche,Municipality of Demir Hisar/Murgashevo,7240,,41.23813075,21.20094674,"Goriche, R1305, 7240 Belche, North Macedonia",,,,,,
Кале,Kale,Pelagonia Region,Zrze,Municipality of Dolneni,7505,,41.5229554,21.34230745,"Kale, R29375, 7505 Zrze, North Macedonia",,,,,,
Мариовски Манастир,Monastery of Mariovo,Pelagonia Region,Manastir,Municipality of Prilep,,,41.16506545,21.72606952,"Monastery of Mariovo, Path to Chebren, Manastir, North Macedonia",,,,,,
Градот / Маркови Кули,Gradot / Markovi Kuli,Pelagonia Region,Manastir,Municipality of Prilep,,,41.2061566,21.71845881,"Gradot / Markovi Kuli, R1107, Manastir, North Macedonia",,,,,,
Старо Бонче,Staro Bonche,Pelagonia Region,Bonche,Municipality of Prilep,,,41.2066558,21.58839628,"Staro Bonche, R1107, Bonche, North Macedonia",,,,,,
Пелагон,Pelagon,Pelagonia Region,Kalen,Municipality of Prilep,,,41.20789235,21.61624259,"Pelagon, R1107, Kalen, North Macedonia",,,,,,
Кула,Kula,Southwestern Region,Barbaros,Municipality of Makedonski Brod,6530,,41.5070505,21.27355847,"Kula, R1303, 6530 Barbaros, North Macedonia",,,,,,
Воин на коњ,Warrior on a Horse,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9959035,21.4314474,"Warrior on a Horse, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Девини Кули,Devini Kuli,Southwestern Region,Devich,Municipality of Makedonski Brod,6530,,41.5417571,21.23741581,"Devini Kuli, R1106, 6530 Devich, North Macedonia",,,,,,
Св. Никола,St. Nicholas,Pelagonia Region,Zrze,Municipality of Dolneni,7505,,41.5183837,21.34997847,"St. Nicholas, R29375, 7505 Zrze, North Macedonia",,,,,,
Куќата на Ѓошеви,House of Gjoshev,Pelagonia Region,Prilep,Municipality of Prilep,7513,Kozle,41.3588274,21.53294046,"House of Gjoshev, Borka Lopach, 7513 Prilep, North Macedonia",,,,,,
Мучеинци,Mucheinci,Pelagonia Region,Loznani,Municipality of Mogila,7512,,41.2017673,21.40006855,"Mucheinci, A3, 7512 Loznani, North Macedonia",,,,,,
Св. Климент Охридски,Clement of Ohrid,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9983057,21.4254968,"Clement of Ohrid, Bulevard Kliment Ohridski, 1111 Skopje, North Macedonia",,,,,,
Скендербег,Skanderbeg,Skopje Region,Skopje,Municipality of Chair,1111,Dukjandzhik,41.9993163,21.437162,"Skanderbeg Square, 1111 Skopje, North Macedonia",,,,,,
Костоперска Карпа,,Northeastern Region,Mlado Nagorichane,Municipality of Staro Nagorichane,,,42.1706665,21.809838,"Костоперска Карпа, A2, Mlado Nagorichane, North Macedonia",,,,,,
Кокино,,Northeastern Region,Kokino,Municipality of Staro Nagorichane,,,42.2633818,21.953118,"Кокино, R2244, Kokino, North Macedonia",,,,,,
Ножот,,Pelagonia Region,Rakle,Municipality of Prilep,,,41.4293251,21.7629669,"Ножот, Rakle, Pelagonia Region, North Macedonia",,,,,,
Римски театар,Roman theater,Vardar Region,Gradsko,Municipality of Gradsko,1422,,41.5516379,21.9751675,"Roman theater, Friendship, 1422 Gradsko, North Macedonia",,,,,,
Цоцев Камен,Cocev Kamen,Northeastern Region,Shopsko Rudare,Municipality of Kratovo,,,42.0836218,21.9862589,"Cocev Kamen, Shopsko Rudare, Northeastern Region, North Macedonia",,,,,,
Zebrnjak,,,,,,,42.1491368,21.7853235,,,,,,,
Христо Узунов,,Southwestern Region,Cer,Municipality of Kichevo,,,41.4182291,21.0770931,"R.I.P. Христо Узунов, Cer, North Macedonia",,,,,,
Маркови Кули,Markovi Kuli,Skopje Region,Skopje,Municipality of Karposh,1054,Karposh,41.9682709,21.4313461,"Markovi Kuli, R2138, 1054 Skopje, North Macedonia",,,,,,
Св. Климент Охридски и Наум Охридски Чудотворец,Saints Clement of Ohrid and Naum,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9975624,21.4341509,"Saints Clement of Ohrid and Naum, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4128156210,
Цар Самоил,Tsar Samuel,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9953917,21.4313414,"Tsar Samuel, Macedonia Square, 1000 Skopje, North Macedonia",,,,,,
Јустинијан I,Justinian I,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9968799,21.4323054,"Justinian I, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Vila Varvarka,Vila Varvarka,Skopje Region,Rakotinci,Municipality of Sopishte,1050,,41.9130467,21.4333848,"Vila Varvarka, R1106, 1050 Rakotinci, North Macedonia",,,,,,
Kanda - Geoglif Sv. Nikole,,Vardar Region,Dolno Crnilishte,Municipality of Sveti Nikole,2220,Каракански Бавчи,41.8289715,21.9562049,"Kanda - Geoglif Sv. Nikole, R1204, 2220 Dolno Crnilishte, North Macedonia",,,,,,
Бањичко Кале,Banjica Fortress,Vardar Region,Drenovo,Municipality of Chashka,,,41.6952366,21.628172,"Banjica Fortress, R2344, Drenovo, North Macedonia",,,,,,
Љубе Грујоски,Ljube Grujoski,Pelagonia Region,Pashino Ruvci,Municipality of Krivogashtani,7525,,41.2754595,21.3684104,"Љубе Грујоски, Ljube Grujoski, 7525 Pashino Ruvci, North Macedonia",,,,,,
Дабнички масакр,Masacre of Dabnica,Pelagonia Region,Prilep,Municipality of Prilep,7510,Tri Bagremi,41.3724643,21.5605466,"Masacre of Dabnica, Dabnichka, 7510 Prilep, North Macedonia",,,,,,
Толе Паша,Tole Pasha,Pelagonia Region,Dunje,Municipality of Prilep,,,41.2064953,21.6536957,"Tole Pasha, R1107, Dunje, North Macedonia",,,,,,
Масакр во Ваташа,Vatasha Massacre,Vardar Region,Municipality of Kavadarci,,1430,Vatasha,41.4014262,22.0284286,"Vatasha Massacre, R1107, 1430 Municipality of Kavadarci, North Macedonia",,,,,,
Сухои Су-25УБ,Sukhoi Su25UB,Skopje Region,Miladinovci,Municipality of Ilinden,1043,,41.9755167,21.6216919,"Sukhoi Su25UB, A2, 1043 Miladinovci, North Macedonia",,,,,,
Сухои Су-25К,Sukhoi Su25K,Skopje Region,Miladinovci,Municipality of Ilinden,1043,,41.9754577,21.6219516,"Sukhoi Su25K, A2, 1043 Miladinovci, North Macedonia",,,,,,
Сухои Су-25К,Sukhoi Su25K,Skopje Region,Miladinovci,Municipality of Ilinden,1043,,41.9753556,21.6221983,"Sukhoi Su25K, A2, 1043 Miladinovci, North Macedonia",,,,,,
Сухои Су-25К,Sukhoi Su25K,Skopje Region,Miladinovci,Municipality of Ilinden,1043,,41.975287,21.6224322,"Sukhoi Su25K, A2, 1043 Miladinovci, North Macedonia",,,,,,
Филип II Македонски,Philip II of Macedon,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9984602,21.4349949,"Philip II of Macedon, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",1859114111,
Француски гробишта,French Cemetery,Skopje Region,Skopje,Municipality of Centar,1009,Debar Maalo,42.00834675,21.42983538,"French Cemetery, Samoilova, 1009 Skopje, North Macedonia",,,,,,
Споменик Костурница,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.1454142,21.72264768,"Споменик Костурница, Средорек, 1300 Kumanovo, North Macedonia",,,,,,
Винарија Грков,Grkov Winery,Vardar Region,Krnjevo,Municipality of Kavadarci,,winery,41.3154452,22.12806428,"Grkov Winery, R29171, Krnjevo, North Macedonia",,,,,,
Манастир Св. Богородица,St. Holy Mother of God Monastery,Skopje Region,Pobozhje,Municipality of Chucher Sandevo,,,42.12561345,21.42829508,"St. Holy Mother of God Monastery, R2239, Pobozhje, North Macedonia",,,,,,
Манастир Св. Никола,Saint Nicholas Monastery,Skopje Region,Brodec,Municipality of Chucher Sandevo,,,42.10977925,21.46959973,"Saint Nicholas Monastery, Љубанци - Бродец, Brodec, North Macedonia",,,,,,
Средновековна Кула,Medieval Tower,Eastern Region,Kochani,Municipality of Kochani,2300,,41.921549,22.40906635,"Medieval Tower, Ilindenska, 2300 Kochani, North Macedonia",,,,,,
Средновековна Кула,Medieval Tower,Eastern Region,Kochani,Municipality of Kochani,2300,,41.92340425,22.41208105,"Medieval Tower, Krushevska, 2300 Kochani, North Macedonia",,,,,,
Китино Кале,Kita Castle,Southwestern Region,Kichevo,Municipality of Kichevo,6250,Podvarosh,41.51296155,20.96639378,"Kita Castle, Амит Челопечанец, 6250 Kichevo, North Macedonia",,,,,,
Спомен куќа Тоше Проески,,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.3744405,21.24628933,"Спомен куќа Тоше Проески, Гумење, 7550 Krushevo, North Macedonia",,,,,,
Кале,,Pelagonia Region,Buchin,Municipality of Krushevo,7525,,41.2581743,21.31474592,"Кале, R2335, 7525 Buchin, North Macedonia",,,,,,
Антички театар,ancient theater of Stobi,Vardar Region,Gradsko,Municipality of Gradsko,1422,,41.55140205,21.97459165,"ancient theater of Stobi, Friendship, 1422 Gradsko, North Macedonia",,,,,,
Милениумски крст,Millennium Cross,Skopje Region,Skopje,Municipality of Karposh,1054,Karposh,41.96497835,21.39458801,"Millennium Cross, Карпи, 1054 Skopje, North Macedonia",,,,,,
Маркови Кули,Markovi Kuli,Skopje Region,Letevci,Municipality of Petrovec,,,41.83810685,21.69933596,"Markovi Kuli, Friendship, Letevci, North Macedonia",,,,,,
Градиште,Gradishte,Pelagonia Region,Graishte,Municipality of Demir Hisar/Murgashevo,7240,,41.2409898,21.21856052,"Gradishte, R2339, 7240 Graishte, North Macedonia",,,,,,
Стибера,,Pelagonia Region,Topolchani,Municipality of Prilep,7512,,41.2441667,21.39857367,"Стибера, Тополчани, 7512 Topolchani, North Macedonia",,,,,,
Безистен,,,,,,,42.00144135,21.4370402,,,,,,,
Антигона,,Vardar Region,Negotino,Municipality of Negotino,1440,,41.50339145,22.10027239,"Антигона, R1103, 1440 Negotino, North Macedonia",,,,,,
Питу Гули,,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9936737,21.433319,"Питу Гули, Dimitrie Chupovski, 1111 Skopje, North Macedonia",,,,,,
Гоце Делчев,,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,42.0032812,21.4233737,"Гоце Делчев, Наум Наумовски Борче, 1111 Skopje, North Macedonia",,,,,,
Влез на Скопското кале,Skopje Fortress Gate,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,42.0008716,21.4338778,"Skopje Fortress Gate, Samoilova, 1111 Skopje, North Macedonia",,,,,,
Костурница,Kosturnica,Vardar Region,Kavadarci,Municipality of Kavadarci,1430,,41.4325212,22.0228463,"Kosturnica, Дисанска, 1430 Kavadarci, North Macedonia",,,,,,
Мечкин Камен,Mechkin Kamen,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Gipsy Neighbourhood,41.3377228,21.257898,"Mechkin Kamen, R1306, 7550 Krushevo OT, North Macedonia",,,,,,
Слива,,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,,41.3880768,21.2273776,"Слива, R2337, 7550 Krushevo OT, North Macedonia",,,,,,
Камен мост,Stone Bridge,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9972545,21.4334562,"Камен мост, Stone Bridge, 1111 Skopje, North Macedonia",,,,,,
Трескавец,Treskavec,Pelagonia Region,Prilep (Vicinity),Municipality of Prilep,7513,,41.40530025,21.53792204,"Hiking trail Prilep - Treskavec, 7513 Prilep (Vicinity), North Macedonia",,,,,,
Гоце Делчев,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.73631045,22.18210515,"Гоце Делчев, Dimitar Vlahov, 2000 Shtip, North Macedonia",,,,,,
св. Тројица,Sv. Trojitca,Skopje Region,Banjane,Municipality of Chucher Sandevo,,,42.1027654,21.37854295,"Sv. Trojitca, Манастир Св. Илија, Banjane, North Macedonia",,,,,,
Мост на уметноста,Bridge of Artists,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9957163,21.43593497,"Bridge of Artists, Bridge of the Arts, 1111 Skopje, North Macedonia",,,,,,
Света Недела,Holy Sunday,Skopje Region,Matka,Municipality of Saraj,,,41.9497131,21.29151425,"Holy Sunday, Sveta Nedela, Matka, North Macedonia",,,,,,
Св. Андреј,,Skopje Region,Matka,Municipality of Saraj,,,41.952326,21.2988152,"Св. Андреј, Matka, City of Skopje, North Macedonia",,,,,,
Колонада,,,,,,,41.99641253,21.43574695,,,,,,,
Geoglif Sv. Nikole,,Vardar Region,Dolno Crnilishte,Municipality of Sveti Nikole,2220,Каракански Бавчи,41.82913655,21.95650557,"Geoglif Sv. Nikole, R1204, 2220 Dolno Crnilishte, North Macedonia",,,,,,
Bilazora - Water Reservoir,,Vardar Region,Sveti Nikole,Municipality of Sveti Nikole,2220,Бел Камен,41.84973375,21.9099884,"Bilazora - Water Reservoir, Септемвриска, 2220 Sveti Nikole, North Macedonia",,,,,,
Велешки Гемиџија,,Vardar Region,Veles,Municipality of Veles,1400,,41.716152,21.78342051,"Велешки Гемиџија, R1312, 1400 Veles, North Macedonia",,,,,,
Спомен плоча - Ѓурѓејца,,Southwestern Region,Karbunica,Municipality of Kichevo,6250,,41.45308785,20.96611594,"Спомен плоча - Ѓурѓејца, Патека кон с.Кладник / репетитор, 6250 Karbunica, North Macedonia",,,,,,
Споменик на Народоослободителната борба,,Vardar Region,Sveti Nikole,Municipality of Sveti Nikole,2220,Лозов Расадник,41.8647413,21.9388571,"Споменик на Народоослободителната борба, Кочо Рацин, 2220 Sveti Nikole, North Macedonia",,,,,,
Споменик „Александар Серафимов“,,Vardar Region,Sveti Nikole,Municipality of Sveti Nikole,2220,Рецко Маало,41.8647297,21.93981675,"Споменик „Александар Серафимов“, City square Ilinden""",,, 2220 Sveti Nikole," North Macedonia""",839150824,
Пешта,Peshta,Pelagonia Region,Gradeshnica,Municipality of Novaci,,,41.08806725,21.74435335,"Peshta, R2338, Gradeshnica, North Macedonia",,,,,,
Марков Ѕид,Marko's Wall,Pelagonia Region,Shtavica,Municipality of Prilep,,,41.29936995,21.58962052,"Marko's Wall, R1107, Shtavica, North Macedonia",,,,,,
Градиште,Gradishte,Pelagonia Region,Kalen,Municipality of Prilep,,,41.20492915,21.64428485,"Gradishte, R1107, Kalen, North Macedonia",,,,,,
Бабо,Babo,Pelagonia Region,Dunje,Municipality of Prilep,,,41.1967792,21.65211903,"Babo, R1107, Dunje, North Macedonia",,,,,,
Споменин на Слободата,Freedom Monument,Eastern Region,Kochani,Municipality of Kochani,2300,,41.91888895,22.40699364,"Freedom Monument, Kirili i Metodij, 2300 Kochani, North Macedonia",,,,,,
19.12.1942,,Pelagonia Region,Shtavica,Municipality of Prilep,,,41.28955205,21.59606691,"19.12.1942, R1107, Shtavica, North Macedonia",,,,,,
Viničko Kale,,Eastern Region,Vinica,Municipality of Vinica,2310,,41.87728705,22.5027353,"Viničko Kale, 30 Avgust, 2310 Vinica, North Macedonia",,,,,,
Свет Крст,,Eastern Region,Vinica,Municipality of Vinica,2310,,41.8789089,22.51060373,"Свет Крст, 4-та Македонска Бригада, 2310 Vinica, North Macedonia",,,,,,
Св Кирил и Методи,,Eastern Region,Shtip,Municipality of Shtip,2000,Кежовица,41.7362862,22.18829584,"Св Кирил и Методи, Мост Св.Никола, 2000 Shtip, North Macedonia",,,,,,
Rimska crkva,,Skopje Region,Orman,Municipality of Gjorche Petrov,1060,,42.0586697,21.3527926,"Rimska crkva, Mother Teresa, 1060 Orman, North Macedonia",,,,,,
Давина Кула,Davina Kula,Skopje Region,Gluvo,Municipality of Chucher Sandevo,,,42.0843452,21.3548716,"Davina Kula, A4, Gluvo, North Macedonia",,,,,,
Голема Кула - Кучково,,Skopje Region,Gorno Svilare,Municipality of Saraj,1060,,42.0587494,21.2786993,"Голема Кула - Кучково, Street 1, 1060 Gorno Svilare, North Macedonia",,,,,,
Мала Кула - Кучково,,Skopje Region,Kuchkovo,Municipality of Gjorche Petrov,,,42.0585741,21.2844339,"Мала Кула - Кучково, Улица 103, Kuchkovo, North Macedonia",,,,,,
Zena,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.1355189,21.7200501,"Zena, Иво Лола Рибар, 1300 Kumanovo, North Macedonia",,,,,,
Gradiste kaj s.Brazda,,Skopje Region,Brazda,Municipality of Chucher Sandevo,,,42.0766913,21.398848,"Gradiste kaj s.Brazda, R2239, Brazda, North Macedonia",,,,,,
Манастир Св. Андреј,Monastery St. Andrej,Skopje Region,Matka,Municipality of Saraj,,,41.9505936,21.2991931,"Monastery St. Andrej, Přehrada Matka - hráz, Matka, North Macedonia",,,,,,
Филип Втори,,Skopje Region,Skopje,Municipality of Gazi Baba,1001,Автокоманда,42.0017233,21.4617772,"Филип Втори, Плоштад Автокоманда, 1001 Skopje, North Macedonia",,,,,,
Јосип Броз - Тито,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.1355778,21.7194275,"Јосип Броз - Тито, Иво Лола Рибар, 1300 Kumanovo, North Macedonia",,,,,,
Марков Град,Markov Grad,Vardar Region,Koreshnica,Municipality of Demir Kapija,1442,,41.4094203,22.2541295,"Markov Grad, Friendship, 1442 Koreshnica, North Macedonia",,,,,,
Меморијален центар АСНОМ,Memorial Center ASNOM,Northeastern Region,Pelince,Municipality of Staro Nagorichane,,,42.2782511,21.8500367,"Memorial Center ASNOM, R1207, Pelince, North Macedonia",,,,,,
Sahat Kula,,Polog Region,Gostivar,Municipality of Gostivar,1230,,41.794932,20.9108574,"Sahat Kula, Nikola Parapunov, 1230 Gostivar, North Macedonia",,,,,,
Орашко Кале,Orashko Kale,Polog Region,Nerashte,Municipality of Jegunovce,,,42.1068795,21.1545235,"Orashko Kale, R2234, Nerashte, North Macedonia",,,,,,
Саат кула,,Southwestern Region,Kichevo,Municipality of Kichevo,6250,Bichinci,41.5119269,20.9702432,"Саат кула, Јане Сандански, 6250 Kichevo, North Macedonia",,,,,,
Саат кула,,Vardar Region,Veles,Municipality of Veles,1400,,41.7140782,21.7840512,"Саат кула, 8-ми Септември, 1400 Veles, North Macedonia",,,,,,
Isar / Idomenae,,Southeastern Region,Marvinci,Municipality of Valandovo,2463,,41.2775784,22.4937679,"Isar / Idomenae, R1401, 2463 Marvinci, North Macedonia",,,,,,
Куде сат,,Northeastern Region,Kumanovo,Municipality of Kumanovo,1300,,42.1346962,21.7192303,"Куде сат, Гане георгиев, 1300 Kumanovo, North Macedonia",,,,,,
Народен Херој Кузман Јосифоски-Питу,People's hero Kuzman Josifoski-Pitu,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3451182,21.5519842,"People's hero Kuzman Josifoski-Pitu, Metodija Andonov - Chento, 7500 Prilep, North Macedonia",,,,,,
Пеце Атанасоски,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3451518,21.554267,"Пеце Атанасоски, Borka Taleski-Modernoto, 7500 Prilep, North Macedonia",,,,,,
Ѓорче Петров,Gjorche Petrov,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3452617,21.5522173,"Gjorche Petrov, Metodija Andonov - Chento, 7500 Prilep, North Macedonia",,,,,,
Питу Гули,,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.3748344,21.2480535,"Питу Гули, Гумење, 7550 Krushevo, North Macedonia",,,,,,
Тоше Проески,,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.3748686,21.2482546,"Тоше Проески, Гумење, 7550 Krushevo, North Macedonia",,,,,,
Никола Карев,,Pelagonia Region,Krushevo,Municipality of Krushevo,7550,Upper Krushevo,41.3736665,21.2463296,"Никола Карев, Nikola Karev, 7550 Krushevo, North Macedonia",,,,,,
Стефан Наумов-Стив,Stefan Naumov-Stiv,Pelagonia Region,Bitola,Municipality of Bitola,7000,Borimechka,41.024615,21.3368929,"Stefan Naumov-Stiv, Makedonska Falanga, 7000 Bitola, North Macedonia",,,,,,
Питу Гули,Pitu Guli,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Влашко Маало,41.3649692,21.2497316,"Pitu Guli, Kocha Milenku, 7550 Krushevo OT, North Macedonia",,,,,,
Наум Наумоски-Борче,Naum Naumoski-Borche,Pelagonia Region,Krushevo OT,Municipality of Krushevo,7550,Влашко Маало,41.3653856,21.2484409,"Naum Naumoski-Borche, Kocha Milenku, 7550 Krushevo OT, North Macedonia",,,,,,
99.4-053,,Southwestern Region,Kichevo,Municipality of Kichevo,6250,Pod Krusino,41.5126479,20.951411,"99.4-053, Boulevard Osloboduvanje, 6250 Kichevo, North Macedonia",,,,,,
Карпалак,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3475544,21.5564074,"Карпалак, Gjorgji Delchev-Goce, 7500 Prilep, North Macedonia",,,,,,
Мачка камен,Macka kamen,Northeastern Region,Konjuh,Municipality of Kratovo,,,42.0853984,21.9627449,"Macka kamen, R29277, Konjuh, North Macedonia",,,,,,
Споменик на жртви од НОВ,,Polog Region,Radiovce,Municipality of Brvenica,1213,,41.9062629,20.9636151,"Споменик на жртви од НОВ, 102, 1213 Radiovce, North Macedonia",,,,,,
Александар Македонски,,,,,,,41.3460556,21.5524989,,,,,,,
Методија Андонов-Ченто,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3462544,21.5528281,"Методија Андонов-Ченто, Alexandria Square, 7500 Prilep, North Macedonia",,,,,,
Св. Никола,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.3462194,21.553243,"Св. Никола, Alexandria Square, 7500 Prilep, North Macedonia",,,,,,
Масакр кај Пуста Кула,,Vardar Region,Rudnik,Municipality of Veles,,,41.822914,21.7360635,"Масакр кај Пуста Кула, 10113, Rudnik, North Macedonia",,,,,,
Карпалак 2001,,Pelagonia Region,Prilep,Municipality of Prilep,7500,Bonchejca,41.3434323,21.5479723,"Карпалак 2001, Gjorgji Delchev-Goce, 7500 Prilep, North Macedonia",,,,,,
Крипта,Cript,Pelagonia Region,Prilep,Municipality of Prilep,7500,Shtavichko Maalo,41.3341123,21.554646,"Cript, Car Samoil ББ, 7500 Prilep, North Macedonia",,,,,,
Итар Пејо,Sly Peter,Pelagonia Region,Prilep,Municipality of Prilep,7500,Charshija,41.345456,21.5548417,"Итар Пејо, Sly Peter, 7500 Prilep, North Macedonia",,,,,,
Josip Broz Tito,,Skopje Region,Skopje,Municipality of Centar,1000,Debar Maalo,41.9952169,21.426153,"Josip Broz Tito, Dimitrie Čupovski, 1000 Skopje, North Macedonia",,,,,,
Св. Кирил и Методиј,Saints Cyril and Methodius,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9977079,21.4339766,"Saints Cyril and Methodius, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4128156209,
Даме Груев,Dame Gruev,Skopje Region,Skopje,Municipality of Centar,1111,Debar Maalo,41.9964949,21.4321474,"Dame Gruev, Macedonia Square, 1111 Skopje, North Macedonia",,,,,,
Олимпија,Olympias,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.9979046,21.4344182,"Olympias, Плоштад Карпошово Востание""",,, 1111 Skopje," North Macedonia""",4161249330,
Прометеј,Prometheus,Skopje Region,Skopje,Municipality of Centar,1111,Madzhir Maalo,41.993303,21.4337226,"Prometheus, Dimitrie Chupovski, 1111 Skopje, North Macedonia",,,,,,
Тодор Александров,,Skopje Region,Skopje,Municiplity of Kisela Voda,1111,Cvetan Dimov,41.9834333,21.439106,"Тодор Александров, Иван Козаров, 1111 Skopje, North Macedonia",,,,,,
Стара Рампа,,Skopje Region,Skopje,Municiplity of Kisela Voda,1111,Cvetan Dimov,41.986749,21.4369668,"Стара Рампа, Булевар Македонија, 1111 Skopje, North Macedonia",,,,,,
